id,en,ru,in,vi,pt,el,de,es,cs,it,pl,fr
measurement,Measurement,Измерение,Pengukuran,Đo đạc,Medição,Μέτρηση,Messung,Medición,Měření,Misurazione,Pomiary,Mesure
start,Start,Начинать,Mulailah,Khởi đầu,Começar,Αρχή,Start,Comienzo,Start,Inizio,Początek,Début
end,End,Конец,Akhir,Kết thúc,Fim,Τέλος,Ende,Final,Konec,Fine,Koniec,Fin
interval,Interval,Интервал,Selang,Khoảng thời gian,Intervalo,Διάστημα,Intervall,Intervalo,Interval,Intervallo,Interwał,Intervalle
send_watch,Send values to watch,Отправить значения для просмотра,Kirim nilai untuk ditonton,Gửi giá trị để xem,Enviar valores para assistir,Στείλτε τιμές για να παρακολουθήσετε,"Senden Sie Werte, um anzusehen",Enviar valores a ver,Odeslat hodnoty sledovat,Invia valori da guardare,Wyślij wartości do oglądania,Envoyer les données à la montre
scheduled,Scheduled Measure,Запланированная мера,Ukur yang dijadwalkan,Biện pháp theo lịch trình,Medida programada,Προγραμματισμένο μέτρο,Geplante Maßnahme,Medida programada,Plánované opatření,Misura programmata,Zaplanowany środek,Mesurer régulièrement
hours,Hours,Часы,Jam,Giờ,Horas,Ωρες,Std,Horas,Hodiny,Ore,godziny,Heures
waiting,Waiting,Ожидающий,Menunggu,Đang chờ đợi,Espera,Αναμονή,Warten,Esperando,Čekání,In attesa,Czekanie,En attente
m_triggered,Measure command received,Материальная команда получена,Ukur perintah yang diterima,Lệnh Đo lường nhận được,Comando de medida recebido,Η εντολή μέτρησης που ελήφθη,Messen Sie den Befehl erhalten.,Medir el comando recibido,Příkaz měření,COMANDO DI MISURA RICEVUTO,Otrzymano polecenie pomiaru.,Commande de mesure reçue
m_stopped,Service was not running,Сервис не работал,Layanan tidak berjalan,Dịch vụ không chạy,O serviço não estava funcionando,Η υπηρεσία δεν εκτελείται,Der Service läuft nicht,El servicio no estaba ejecutando,Služba nebyla spuštěna,Il servizio non era in esecuzione,Usługa nie była uruchomiona,Le service n'était pas lancé
m_start,Started measuring,Начал измерять,Mulai mengukur,Bắt đầu đo.,Começou a medir,Άρχισε να μετράει,Begann messen,Comenzó a medir,Začal měřit,Ha iniziato a misurare,Rozpoczął się pomiar,Début de la mesure
m_end,Ended measurement,Законченное измерение,Mengukur pengukuran,đo lường kết thúc,Medição finalizada,Τελική μέτρηση,Endete Messung.,Medición terminada,Konec měření,Misurazione terminata,Zakończony pomiar,Fin de la mesure
m_received,Received measurement data,Полученные данные измерений,Menerima data pengukuran,Nhận được dữ liệu đo lường,Recebeu dados de medição,Λήψη δεδομένων μέτρησης,Empfangene Messdaten,Datos de medición recibidos,Přijaté datové údaje,Dati di misurazione ricevuti,Otrzymano dane pomiarowe,Données de mesure reçues
m_null,Zero values received,Нулевые значения получены,Nilai nol yang diterima,Không nhận được giá trị,Valores zero recebidos,Μηδενικές τιμές που ελήφθησαν,Nullwerte empfangen.,Valores cero recibidos,Přijaté nulové hodnoty,Valori zero ricevuti,Odebrane wartości zerowe.,Aucune valeur reçue
m_disconnect,Watch was disconnected,Часы были отключены,Tonton terputus,Đồng hồ đã bị ngắt kết nối,O relógio foi desconectado,Το ρολόι αποσυνδέθηκε,Uhr wurde getrennt,El reloj fue desconectado,Hodinky byly odpojeny,L'orologio è stato disconnesso,Zegarek został rozłączony,La montre était déconnectée
m_failed,Retry failed,Повторите неудачу,Coba lagi gagal,Thử lại thất bại,Repetir falhou,Η επανάληψη απέτυχε,Wiederholung fehlgeschlagen,Reintentar falló,Opakování se nezdařilo,Riprova non riuscito,Retry nie powiodło się,Ré-essai : échec
m_no_data,No data,Нет данных,Tidak ada data,Không có dữ liệu,Sem dados,Χωρίς δεδομένα,Keine Daten,Sin datos,Žádná data,Nessun dato,Brak danych,Aucune donnée
zero_values,Received zero values. Please wear the watch correctly,"Получил нулевые значения. Пожалуйста, носите часы правильно",Menerima nilai nol. Silakan pakai arloji dengan benar,Nhận được giá trị bằng không. Vui lòng đeo đồng hồ chính xác,"Recebeu valores zero. Por favor, use o relógio corretamente",Έλαβαν μηδενικές τιμές. Παρακαλώ φορέστε το ρολόι σωστά,Empfangene Nullwerte. Bitte tragen Sie die Uhr richtig,"Recibió los valores cero. Por favor, use el reloj correctamente",Přijaté nulové hodnoty. Používejte prosím hodinky správně,Ricevuto valori zero. Si prega di indossare l'orologio correttamente,Odebrane wartości zerowe. Proszę poprawnie nosić zegarek,Aucune valeur reçue. Mettre la montre correctement SVP!
watch_charging,Watch is charging,Часы заряжают,Tonton adalah pengisian,Đồng hồ đang sạc,O relógio está carregando,Το ρολόι χρεώνει,Uhr wird aufgeladen,El reloj está cargando,Hodinky se nabíjí,L'orologio sta caricando,Oglądaj ładowanie,La montre est en charge.
bakup_restore,Backup & Restore,Восстановления резервной копии,Cadangan & Pemulihan,Phục hồi dữ liệu đã lưu,Restauração de backup,Backup & Restore,Backup wiederherstellen,Copia de seguridad de restauracion,Obnovení zálohy,Ripristinare il backup,Przywracania kopii zapasowej,Restauration de sauvegarde
backup_info,Backup files are stored in DT78 folder on internal storage,Файлы резервных копий хранятся в папке DT78 на внутреннем хранилище,File cadangan disimpan dalam folder DT78 pada penyimpanan internal,Các tệp sao lưu được lưu trữ trong thư mục DT78 trên bộ nhớ trong,Arquivos de backup são armazenados na pasta DT78 no armazenamento interno,Τα αρχεία αντιγράφων ασφαλείας αποθηκεύονται σε φάκελο DT78 στην εσωτερική αποθήκευση,Sicherungsdateien werden im Ordner DT78 auf internen Speicher gespeichert,Los archivos de copia de seguridad se almacenan en la carpeta DT78 en el almacenamiento interno,Zálohovací soubory jsou uloženy ve složce DT78 na interním úložišti,I file di backup sono memorizzati nella cartella DT78 sullo spazio di archiviazione interno,Pliki kopii zapasowej są przechowywane w folderze DT78 na wewnętrznej pamięci masowej,Les fichiers de sauvegarde sont stockés dans le dossier DT78 sur le stockage interne
restore,Restore,Восстановить,Mengembalikan,Khôi phục.,Restaurar,Επαναφέρω,Wiederherstellen,Restaurar,Obnovit,Ristabilire,Przywracać,Restaurer
start_backup,Start backup,Начать резервное копирование,Mulai cadangan,Bắt đầu sao lưu.,Iniciar backup,Εκκίνηση δημιουργίας αντιγράφων ασφαλείας,Sicherung starten,Comenzar respaldo,Začněte zálohování,Start Backup.,Rozpocząć tworzenie kopii zapasowych,Démarrer la sauvegarde
start_restore,Start restore,Начать восстановление,Mulai Pulihkan,Khởi động khôi phục,Comece a restaurar.,Ξεκινήστε την επαναφορά,Restore starten,Iniciar restaurar,Začněte obnovit,Start Restore.,Rozpocznij przywracanie,Commencer à restaurer
scheduled_reminder,Scheduled Reminder,Запланированное напоминание,Pengingat yang dijadwalkan,Nhắc nhở theo lịch trình,Lembrete agendado,Προγραμματισμένη υπενθύμιση,Geplante Erinnerung,Recordatorio programado,Plánovaná připomenutí,Promemoria programmata,Zaplanowane przypomnienie,Rappel planifié
reminder_name,Reminder,Напоминание,Pengingat,Nhắc nhở,Lembrete,Υπενθύμιση,Erinnerung,Recordatorio,Připomínka,Promemoria,Przypomnienie,Rappel
delete_file,Delete backup file?,Удалить файл резервного копирования?,Hapus file cadangan?,Xóa tập tin sao lưu?,Excluir o arquivo de backup?,Διαγράψτε το αρχείο αντιγράφων ασφαλείας;,Sicherungsdatei löschen?,Eliminar archivo de copia de seguridad?,Smazat záložní soubor?,Elimina file di backup?,Usuń plik kopii zapasowej?,Supprimer le fichier de sauvegarde?
restore_file,Restore backup file?,Восстановить файл резервного копирования?,Mengembalikan file cadangan?,Khôi phục tập tin sao lưu?,Restaurar o arquivo de backup?,Επαναφορά αρχείου αντιγράφων ασφαλείας;,Wiederherstellen der Sicherungsdatei?,Restaurar archivo de copia de seguridad?,Obnovení záložního souboru?,Ripristina il file di backup?,Przywróć plik kopii zapasowej?,Restaurer le fichier de sauvegarde?
backup_complete,Backup Complete,Резервное копирование завершено,Cadangan selesai,Sao lưu thành công,Backup completo,Δημιουργία αντιγράφων ασφαλείας,Sicherung komplett,Copia de seguridad completa,Zálohování kompletní,Backup completo,Kopia zapasowa zakończona,Sauvegarde complète
restore_complete,Restore Complete,Восстановить полный,Pulihkan Lengkap,Khôi phục hoàn thành,Restaurar completa.,Επαναφορά πλήρους,Restore abgeschlossen.,Restaurar completa,Obnovit kompletní,Ripristina completare,Przywróć kompletny,Restaurer complet
restore_progress,Restoring,Восстановление,Memulihkan,Phục hồi,Restaurando,Αποκατάσταση,Wiederherstellung,Restauración,Obnovení,Ripristino,Przywracanie,Restaurer
restore_success,Restore success! Restarting app,Восстановить успех! Перезапуск приложения,Kembalikan Sukses! Restart App.,Khôi phục thành công! Khởi động lại ứng dụng.,Restaurar o sucesso! Reiniciar o aplicativo.,Επαναφορά της επιτυχίας! Επανεκκίνηση της εφαρμογής,Erfolg wiederherstellen! App neu starten,¡Restaura el éxito! Aplicación de reinicio,Obnovte úspěch! Restartování aplikace,Ripristina il successo! Riavvio dell'app.,Przywróć sukces! Uruchomienie aplikacji.,Restaurer le succès! Application de redémarrage
restore_fail,Restore failed,Восстановление не удалось,Restore gagal,Khôi phục thất bại,Restaurar falhou,Η επαναφορά απέτυχε,Restore fehlgeschlagen,Restauración falló,Obnovení se nezdařilo,Ripristina non riuscito,Przywróć nie powiodło się,Restaurer a échoué
backup_count,Backups found,Созданные резервные копии,Cadangan ditemukan,Sao lưu được tìm thấy,Backups encontrados,Backups βρέθηκαν,Backups gefunden,Backups encontrados,Zálohování nalezeno,Backup trovati,Znalezione kopie zapasowe.,Sauvegardes trouvées
load_error,Could not load restore file,Не удалось загрузить файл восстановления,Tidak dapat memuat file pemulihan,Không thể tải tệp khôi phục,Não foi possível carregar o arquivo de restauração,Δεν ήταν δυνατή η φόρτωση αρχείου επαναφοράς,Die Wiederherstellungsdatei konnte nicht geladen werden,No se pudo cargar el archivo de restauración,Nelze načíst soubor obnovení,Impossibile caricare il file di ripristino,Nie można załadować pliku przywracania,Impossible de charger le fichier de restauration
text_hint,your text here,Здесь ваш текст,teks Anda di sini,Văn bản của bạn ở đây,seu texto aqui,το κείμενό σας εδώ,Dein Text hier,tu texto aqui,text zde,il tuo testo qui,Twój tekst tutaj,votre texte ici
reminder_hint,Click on the outer ring to activate the reminder,"Нажмите на внешнее кольцо, чтобы активировать напоминание",Klik pada cincin luar untuk mengaktifkan pengingat,Nhấp vào vòng ngoài để kích hoạt lời nhắc nhở,Clique no anel externo para ativar o lembrete,Κάντε κλικ στον εξωτερικό δακτύλιο για να ενεργοποιήσετε την υπενθύμιση,"Klicken Sie auf den Außenring, um die Erinnerung zu aktivieren",Haga clic en el anillo exterior para activar el recordatorio,"Chcete-li aktivovat připomenutí, klikněte na vnější kroužek",Fare clic sull'anello esterno per attivare il promemoria,"Kliknij na zewnętrzny pierścień, aby aktywować przypomnienie",Cliquez sur la bague extérieure pour activer le rappel.
watch_full_charge,Watch battery is fully charged,Часы батареи полностью заряжены,Baterai menonton terisi penuh,Đồng hồ pin được sạc đầy,Assistir a bateria está totalmente carregada,Η μπαταρία ρολογιών είναι πλήρως φορτισμένη,Uhrenbatterie ist vollständig aufgeladen,La batería del reloj está completamente cargada,Sledujte baterii je plně nabitá,Guarda la batteria è completamente carica,Bateria obserwacyjna jest w pełni naładowana,Regarder la batterie est complètement chargée
